feature_id,dimension,label,description,condition,total_space,occurrences,probability,odds_1_in,score_bits_x100,exclusive_group,source
name_run_ge_2,name,2 consecutive equal letters,The name contains a consecutive run of at least 2 equal letters.,max_run(name) >= 2,16777216,4627216,0.275803565979003906,3.62576892888,186,name_run,local-combinatorics
name_letter_count_ge_2,name,One letter appears 2+ times,At least one of the 16 HACD letters appears 2 or more times in the name.,max_count(name) >= 2,16777216,11011456,0.65633392333984375,1.52361467911,61,name_letter_count,local-combinatorics
name_run_ge_3,name,3 consecutive equal letters,The name contains a consecutive run of at least 3 equal letters.,max_run(name) >= 3,16777216,249616,0.0148782730102539062,67.2121017883,607,name_run,local-combinatorics
name_letter_count_ge_3,name,One letter appears 3+ times,At least one of the 16 HACD letters appears 3 or more times in the name.,max_count(name) >= 3,16777216,1133056,0.067535400390625,14.8070492544,389,name_letter_count,local-combinatorics
name_run_ge_4,name,4 consecutive equal letters,The name contains a consecutive run of at least 4 equal letters.,max_run(name) >= 4,16777216,11776,0.000701904296875,1424.69565217,1048,name_run,local-combinatorics
name_letter_count_ge_4,name,One letter appears 4+ times,At least one of the 16 HACD letters appears 4 or more times in the name.,max_count(name) >= 4,16777216,55456,0.0033054351806640625,302.532025389,824,name_letter_count,local-combinatorics
name_run_ge_5,name,5 consecutive equal letters,The name contains a consecutive run of at least 5 equal letters.,max_run(name) >= 5,16777216,496,0.00002956390380859375,33825.0322581,1505,name_run,local-combinatorics
name_letter_count_ge_5,name,One letter appears 5+ times,At least one of the 16 HACD letters appears 5 or more times in the name.,max_count(name) >= 5,16777216,1456,0.00008678436279296875,11522.8131868,1349,name_letter_count,local-combinatorics
name_run_ge_6,name,6 consecutive equal letters,The name contains a consecutive run of at least 6 equal letters.,max_run(name) >= 6,16777216,16,9.5367431640625e-7,1048576,2000,name_run,local-combinatorics
name_letter_count_ge_6,name,One letter appears 6+ times,At least one of the 16 HACD letters appears 6 or more times in the name.,max_count(name) >= 6,16777216,16,9.5367431640625e-7,1048576,2000,name_letter_count,local-combinatorics
name_pattern_xxxyyy,name,XXXYYY,Symbolic pattern XXXYYY; each distinct symbol must map to a distinct HACD letter.,"matches_symbol_pattern(name, 'XXXYYY') with 2 distinct symbols",16777216,240,0.00001430511474609375,69905.0666667,1609,name_special_pattern,local-combinatorics
name_pattern_xyzxyz,name,XYZXYZ,Symbolic pattern XYZXYZ; each distinct symbol must map to a distinct HACD letter.,"matches_symbol_pattern(name, 'XYZXYZ') with 3 distinct symbols",16777216,3360,0.0002002716064453125,4993.21904762,1229,name_special_pattern,local-combinatorics
name_pattern_xxyyzz,name,XXYYZZ,Symbolic pattern XXYYZZ; each distinct symbol must map to a distinct HACD letter.,"matches_symbol_pattern(name, 'XXYYZZ') with 3 distinct symbols",16777216,3360,0.0002002716064453125,4993.21904762,1229,name_special_pattern,local-combinatorics
name_pattern_xyyxyy,name,XYYXYY,Symbolic pattern XYYXYY; each distinct symbol must map to a distinct HACD letter.,"matches_symbol_pattern(name, 'XYYXYY') with 2 distinct symbols",16777216,240,0.00001430511474609375,69905.0666667,1609,name_special_pattern,local-combinatorics
name_pattern_xxyxxy,name,XXYXXY,Symbolic pattern XXYXXY; each distinct symbol must map to a distinct HACD letter.,"matches_symbol_pattern(name, 'XXYXXY') with 2 distinct symbols",16777216,240,0.00001430511474609375,69905.0666667,1609,name_special_pattern,local-combinatorics
name_pattern_xyyzzz,name,XYYZZZ,Symbolic pattern XYYZZZ; each distinct symbol must map to a distinct HACD letter.,"matches_symbol_pattern(name, 'XYYZZZ') with 3 distinct symbols",16777216,3360,0.0002002716064453125,4993.21904762,1229,name_special_pattern,local-combinatorics
name_pattern_xxxyyz,name,XXXYYZ,Symbolic pattern XXXYYZ; each distinct symbol must map to a distinct HACD letter.,"matches_symbol_pattern(name, 'XXXYYZ') with 3 distinct symbols",16777216,3360,0.0002002716064453125,4993.21904762,1229,name_special_pattern,local-combinatorics
name_pattern_xyyyyx,name,XYYYYX,Symbolic pattern XYYYYX; each distinct symbol must map to a distinct HACD letter.,"matches_symbol_pattern(name, 'XYYYYX') with 2 distinct symbols",16777216,240,0.00001430511474609375,69905.0666667,1609,name_special_pattern,local-combinatorics
name_pattern_xxyyxx,name,XXYYXX,Symbolic pattern XXYYXX; each distinct symbol must map to a distinct HACD letter.,"matches_symbol_pattern(name, 'XXYYXX') with 2 distinct symbols",16777216,240,0.00001430511474609375,69905.0666667,1609,name_special_pattern,local-combinatorics
name_pattern_xxxxxx,name,XXXXXX,Symbolic pattern XXXXXX; each distinct symbol must map to a distinct HACD letter.,"matches_symbol_pattern(name, 'XXXXXX') with 1 distinct symbols",16777216,16,9.5367431640625e-7,1048576,2000,name_special_pattern,local-combinatorics
name_pattern_xyzzyx,name,XYZZYX,Symbolic pattern XYZZYX; each distinct symbol must map to a distinct HACD letter.,"matches_symbol_pattern(name, 'XYZZYX') with 3 distinct symbols",16777216,3360,0.0002002716064453125,4993.21904762,1229,name_special_pattern,local-combinatorics
